1513866118.390773 server started (5930): version 2.6, socket /private/tmp/tmux-501/default, protocol 8
1513866118.390834 on Darwin 17.3.0 Darwin Kernel Version 17.3.0: Thu Nov  9 18:09:22 PST 2017; root:xnu-4570.31.3~1/RELEASE_X86_64; libevent 2.1.8-stable (select)
1513866118.392480 add peer 0x7ffe09011a00: 9 (0x7ffe09011000)
1513866118.392514 new client 0x7ffe09011000
1513866118.392628 loading /usr/local/etc/tmux.conf
1513866118.392715 loading /Users/shriyeshpujari/.tmux.conf
1513866118.392756 server loop enter
1513866118.393426 client 0x7ffe09011000 IDENTIFY_ENVIRON PWD=/Users/shriyeshpujari/repos/library
1513866118.393434 peer 0x7ffe09011a00 message 105
1513866118.393446 client 0x7ffe09011000 IDENTIFY_ENVIRON OLDPWD=/Users/shriyeshpujari
1513866118.393458 peer 0x7ffe09011a00 message 105
1513866118.393468 client 0x7ffe09011000 IDENTIFY_ENVIRON ZSH=/Users/shriyeshpujari/.oh-my-zsh
1513866118.393476 peer 0x7ffe09011a00 message 105
1513866118.393502 client 0x7ffe09011000 IDENTIFY_ENVIRON PAGER=less
1513866118.393511 peer 0x7ffe09011a00 message 105
1513866118.393520 client 0x7ffe09011000 IDENTIFY_ENVIRON LESS=-R
1513866118.393528 peer 0x7ffe09011a00 message 105
1513866118.393536 client 0x7ffe09011000 IDENTIFY_ENVIRON LSCOLORS=Gxfxcxdxbxegedabagacad
1513866118.393544 peer 0x7ffe09011a00 message 105
1513866118.393553 client 0x7ffe09011000 IDENTIFY_ENVIRON rvm_prefix=/Users/shriyeshpujari
1513866118.393561 peer 0x7ffe09011a00 message 105
1513866118.393575 client 0x7ffe09011000 IDENTIFY_ENVIRON rvm_path=/Users/shriyeshpujari/.rvm
1513866118.393588 peer 0x7ffe09011a00 message 105
1513866118.393603 client 0x7ffe09011000 IDENTIFY_ENVIRON rvm_bin_path=/Users/shriyeshpujari/.rvm/bin
1513866118.393617 peer 0x7ffe09011a00 message 105
1513866118.393628 client 0x7ffe09011000 IDENTIFY_ENVIRON _system_type=Darwin
1513866118.393636 peer 0x7ffe09011a00 message 105
1513866118.393645 client 0x7ffe09011000 IDENTIFY_ENVIRON _system_name=OSX
1513866118.393653 peer 0x7ffe09011a00 message 105
1513866118.393661 client 0x7ffe09011000 IDENTIFY_ENVIRON _system_version=10.13
1513866118.393672 peer 0x7ffe09011a00 message 105
1513866118.393687 client 0x7ffe09011000 IDENTIFY_ENVIRON _system_arch=x86_64
1513866118.393703 peer 0x7ffe09011a00 message 105
1513866118.393722 client 0x7ffe09011000 IDENTIFY_ENVIRON rvm_version=1.29.3 (latest)
1513866118.393731 peer 0x7ffe09011a00 message 105
1513866118.393741 client 0x7ffe09011000 IDENTIFY_ENVIRON GEM_HOME=/Users/shriyeshpujari/.rvm/gems/ruby-2.4.2
1513866118.393749 peer 0x7ffe09011a00 message 105
1513866118.393759 client 0x7ffe09011000 IDENTIFY_ENVIRON GEM_PATH=/Users/shriyeshpujari/.rvm/gems/ruby-2.4.2:/Users/shriyeshpujari/.rvm/gems/ruby-2.4.2@global
1513866118.393767 peer 0x7ffe09011a00 message 105
1513866118.393776 client 0x7ffe09011000 IDENTIFY_ENVIRON MY_RUBY_HOME=/Users/shriyeshpujari/.rvm/rubies/ruby-2.4.2
1513866118.393784 peer 0x7ffe09011a00 message 105
1513866118.393801 client 0x7ffe09011000 IDENTIFY_ENVIRON IRBRC=/Users/shriyeshpujari/.rvm/rubies/ruby-2.4.2/.irbrc
1513866118.393816 peer 0x7ffe09011a00 message 105
1513866118.393831 client 0x7ffe09011000 IDENTIFY_ENVIRON RUBY_VERSION=ruby-2.4.2
1513866118.393846 peer 0x7ffe09011a00 message 105
1513866118.393857 client 0x7ffe09011000 IDENTIFY_ENVIRON rvm_alias_expanded=
1513866118.393869 peer 0x7ffe09011a00 message 105
1513866118.393884 client 0x7ffe09011000 IDENTIFY_ENVIRON rvm_bin_flag=
1513866118.393897 peer 0x7ffe09011a00 message 105
1513866118.393910 client 0x7ffe09011000 IDENTIFY_ENVIRON rvm_docs_type=
1513866118.393918 peer 0x7ffe09011a00 message 105
1513866118.393927 client 0x7ffe09011000 IDENTIFY_ENVIRON rvm_gemstone_package_file=
1513866118.393935 peer 0x7ffe09011a00 message 105
1513866118.393943 client 0x7ffe09011000 IDENTIFY_ENVIRON rvm_gemstone_url=
1513866118.393951 peer 0x7ffe09011a00 message 105
1513866118.393959 client 0x7ffe09011000 IDENTIFY_ENVIRON rvm_niceness=
1513866118.393967 peer 0x7ffe09011a00 message 105
1513866118.393976 client 0x7ffe09011000 IDENTIFY_ENVIRON rvm_nightly_flag=
1513866118.393983 peer 0x7ffe09011a00 message 105
1513866118.393992 client 0x7ffe09011000 IDENTIFY_ENVIRON rvm_only_path_flag=
1513866118.394000 peer 0x7ffe09011a00 message 105
1513866118.394008 client 0x7ffe09011000 IDENTIFY_ENVIRON rvm_pretty_print_flag=
1513866118.394016 peer 0x7ffe09011a00 message 105
1513866118.394026 client 0x7ffe09011000 IDENTIFY_ENVIRON rvm_proxy=
1513866118.394035 peer 0x7ffe09011a00 message 105
1513866118.394043 client 0x7ffe09011000 IDENTIFY_ENVIRON rvm_quiet_flag=
1513866118.394051 peer 0x7ffe09011a00 message 105
1513866118.394061 client 0x7ffe09011000 IDENTIFY_ENVIRON rvm_ruby_bits=
1513866118.394071 peer 0x7ffe09011a00 message 105
1513866118.394080 client 0x7ffe09011000 IDENTIFY_ENVIRON rvm_ruby_file=
1513866118.394088 peer 0x7ffe09011a00 message 105
1513866118.394097 client 0x7ffe09011000 IDENTIFY_ENVIRON rvm_ruby_make=
1513866118.394105 peer 0x7ffe09011a00 message 105
1513866118.394114 client 0x7ffe09011000 IDENTIFY_ENVIRON rvm_ruby_make_install=
1513866118.394143 peer 0x7ffe09011a00 message 105
1513866118.394156 client 0x7ffe09011000 IDENTIFY_ENVIRON rvm_ruby_mode=
1513866118.394166 peer 0x7ffe09011a00 message 105
1513866118.394176 client 0x7ffe09011000 IDENTIFY_ENVIRON rvm_script_name=
1513866118.394188 peer 0x7ffe09011a00 message 105
1513866118.394197 client 0x7ffe09011000 IDENTIFY_ENVIRON rvm_sdk=
1513866118.394206 peer 0x7ffe09011a00 message 105
1513866118.394216 client 0x7ffe09011000 IDENTIFY_ENVIRON rvm_silent_flag=
1513866118.394227 peer 0x7ffe09011a00 message 105
1513866118.394237 client 0x7ffe09011000 IDENTIFY_ENVIRON rvm_use_flag=
1513866118.394245 peer 0x7ffe09011a00 message 105
1513866118.394254 client 0x7ffe09011000 IDENTIFY_ENVIRON rvm_wrapper_name=
1513866118.394262 peer 0x7ffe09011a00 message 105
1513866118.394270 client 0x7ffe09011000 IDENTIFY_ENVIRON rvm_hook=
1513866118.394278 peer 0x7ffe09011a00 message 105
1513866118.394287 client 0x7ffe09011000 IDENTIFY_ENVIRON _=/usr/local/bin/tmux
1513866118.394295 peer 0x7ffe09011a00 message 105
1513866118.394303 client 0x7ffe09011000 IDENTIFY_ENVIRON EVENT_NOKQUEUE=1
1513866118.394311 peer 0x7ffe09011a00 message 105
1513866118.394320 client 0x7ffe09011000 IDENTIFY_ENVIRON EVENT_NOPOLL=1
1513866118.394328 peer 0x7ffe09011a00 message 106
1513866118.394336 client 0x7ffe09011000 name is /dev/ttys000
1513866118.394370 tty_resize: /dev/ttys000 now 238x51
1513866118.394382 peer 0x7ffe09011a00 message 200
1513866118.394399 cmdq_next <global>: enter
1513866118.394408 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.394426 cmd_find_current_client: no target, return 0x0
1513866118.394447 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.394456 cmd_find_current_client: no target, return 0x0
1513866118.394468 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.394476 cmd_find_current_client: no target, return 0x0
1513866118.394487 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.394495 cmd_find_current_client: no target, return 0x0
1513866118.394509 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.394517 cmd_find_current_client: no target, return 0x0
1513866118.394527 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.394535 cmd_find_current_client: no target, return 0x0
1513866118.394546 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.394554 cmd_find_current_client: no target, return 0x0
1513866118.394564 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.394573 cmd_find_current_client: no target, return 0x0
1513866118.394584 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.394593 cmd_find_current_client: no target, return 0x0
1513866118.394604 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.394612 cmd_find_current_client: no target, return 0x0
1513866118.394624 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.394632 cmd_find_current_client: no target, return 0x0
1513866118.394643 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.394651 cmd_find_current_client: no target, return 0x0
1513866118.394662 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.394670 cmd_find_current_client: no target, return 0x0
1513866118.394681 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.394689 cmd_find_current_client: no target, return 0x0
1513866118.394700 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.394708 cmd_find_current_client: no target, return 0x0
1513866118.394719 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.394727 cmd_find_current_client: no target, return 0x0
1513866118.394737 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.394746 cmd_find_current_client: no target, return 0x0
1513866118.394758 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.394766 cmd_find_current_client: no target, return 0x0
1513866118.394777 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.394785 cmd_find_current_client: no target, return 0x0
1513866118.394796 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.394820 cmd_find_current_client: no target, return 0x0
1513866118.394831 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.394841 cmd_find_current_client: no target, return 0x0
1513866118.394852 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.394860 cmd_find_current_client: no target, return 0x0
1513866118.394872 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.394880 cmd_find_current_client: no target, return 0x0
1513866118.394891 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.394899 cmd_find_current_client: no target, return 0x0
1513866118.394909 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.394917 cmd_find_current_client: no target, return 0x0
1513866118.394928 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.394936 cmd_find_current_client: no target, return 0x0
1513866118.394947 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.394955 cmd_find_current_client: no target, return 0x0
1513866118.394965 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.394977 cmd_find_current_client: no target, return 0x0
1513866118.394987 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.394995 cmd_find_current_client: no target, return 0x0
1513866118.395008 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.395017 cmd_find_current_client: no target, return 0x0
1513866118.395027 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.395035 cmd_find_current_client: no target, return 0x0
1513866118.395045 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.395053 cmd_find_current_client: no target, return 0x0
1513866118.395064 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.395072 cmd_find_current_client: no target, return 0x0
1513866118.395083 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.395093 cmd_find_current_client: no target, return 0x0
1513866118.395103 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.395114 cmd_find_current_client: no target, return 0x0
1513866118.395125 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.395133 cmd_find_current_client: no target, return 0x0
1513866118.395143 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.395151 cmd_find_current_client: no target, return 0x0
1513866118.395161 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.395169 cmd_find_current_client: no target, return 0x0
1513866118.395180 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.395188 cmd_find_current_client: no target, return 0x0
1513866118.395199 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.395208 cmd_find_current_client: no target, return 0x0
1513866118.395218 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.395226 cmd_find_current_client: no target, return 0x0
1513866118.395237 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.395245 cmd_find_current_client: no target, return 0x0
1513866118.395256 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.395264 cmd_find_current_client: no target, return 0x0
1513866118.395275 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.395284 cmd_find_current_client: no target, return 0x0
1513866118.395294 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.395302 cmd_find_current_client: no target, return 0x0
1513866118.395313 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.395321 cmd_find_current_client: no target, return 0x0
1513866118.395331 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.395339 cmd_find_current_client: no target, return 0x0
1513866118.395349 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.395357 cmd_find_current_client: no target, return 0x0
1513866118.395367 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.395375 cmd_find_current_client: no target, return 0x0
1513866118.395385 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.395393 cmd_find_current_client: no target, return 0x0
1513866118.395418 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.395427 cmd_find_current_client: no target, return 0x0
1513866118.395438 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.395446 cmd_find_current_client: no target, return 0x0
1513866118.395457 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.395465 cmd_find_current_client: no target, return 0x0
1513866118.395477 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.395488 cmd_find_current_client: no target, return 0x0
1513866118.395499 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.395507 cmd_find_current_client: no target, return 0x0
1513866118.395519 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.395527 cmd_find_current_client: no target, return 0x0
1513866118.395538 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.395547 cmd_find_current_client: no target, return 0x0
1513866118.395558 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.395566 cmd_find_current_client: no target, return 0x0
1513866118.395578 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.395586 cmd_find_current_client: no target, return 0x0
1513866118.395597 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.395605 cmd_find_current_client: no target, return 0x0
1513866118.395616 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.395624 cmd_find_current_client: no target, return 0x0
1513866118.395635 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.395643 cmd_find_current_client: no target, return 0x0
1513866118.395654 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.395662 cmd_find_current_client: no target, return 0x0
1513866118.395674 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.395682 cmd_find_current_client: no target, return 0x0
1513866118.395693 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.395703 cmd_find_current_client: no target, return 0x0
1513866118.395714 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.395722 cmd_find_current_client: no target, return 0x0
1513866118.395733 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.395741 cmd_find_current_client: no target, return 0x0
1513866118.395752 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.395760 cmd_find_current_client: no target, return 0x0
1513866118.395772 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.395780 cmd_find_current_client: no target, return 0x0
1513866118.395792 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.395800 cmd_find_current_client: no target, return 0x0
1513866118.395812 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.395820 cmd_find_current_client: no target, return 0x0
1513866118.395832 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.395840 cmd_find_current_client: no target, return 0x0
1513866118.395851 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.395859 cmd_find_current_client: no target, return 0x0
1513866118.395872 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.395881 cmd_find_current_client: no target, return 0x0
1513866118.395892 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.395900 cmd_find_current_client: no target, return 0x0
1513866118.395912 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.395920 cmd_find_current_client: no target, return 0x0
1513866118.395933 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.395941 cmd_find_current_client: no target, return 0x0
1513866118.395954 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.395962 cmd_find_current_client: no target, return 0x0
1513866118.395974 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.395982 cmd_find_current_client: no target, return 0x0
1513866118.395999 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.396007 cmd_find_current_client: no target, return 0x0
1513866118.396019 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.396041 cmd_find_current_client: no target, return 0x0
1513866118.396055 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.396064 cmd_find_current_client: no target, return 0x0
1513866118.396076 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.396084 cmd_find_current_client: no target, return 0x0
1513866118.396098 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.396107 cmd_find_current_client: no target, return 0x0
1513866118.396121 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.396129 cmd_find_current_client: no target, return 0x0
1513866118.396141 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.396149 cmd_find_current_client: no target, return 0x0
1513866118.396161 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.396169 cmd_find_current_client: no target, return 0x0
1513866118.396180 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.396190 cmd_find_current_client: no target, return 0x0
1513866118.396203 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.396212 cmd_find_current_client: no target, return 0x0
1513866118.396226 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.396242 cmd_find_current_client: no target, return 0x0
1513866118.396254 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.396262 cmd_find_current_client: no target, return 0x0
1513866118.396274 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.396284 cmd_find_current_client: no target, return 0x0
1513866118.396298 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.396307 cmd_find_current_client: no target, return 0x0
1513866118.396319 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.396327 cmd_find_current_client: no target, return 0x0
1513866118.396339 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.396347 cmd_find_current_client: no target, return 0x0
1513866118.396359 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.396367 cmd_find_current_client: no target, return 0x0
1513866118.396379 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.396387 cmd_find_current_client: no target, return 0x0
1513866118.396399 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.396407 cmd_find_current_client: no target, return 0x0
1513866118.396419 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.396427 cmd_find_current_client: no target, return 0x0
1513866118.396439 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.396447 cmd_find_current_client: no target, return 0x0
1513866118.396458 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.396466 cmd_find_current_client: no target, return 0x0
1513866118.396478 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.396486 cmd_find_current_client: no target, return 0x0
1513866118.396497 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.396507 cmd_find_current_client: no target, return 0x0
1513866118.396519 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.396527 cmd_find_current_client: no target, return 0x0
1513866118.396540 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.396548 cmd_find_current_client: no target, return 0x0
1513866118.396559 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.396567 cmd_find_current_client: no target, return 0x0
1513866118.396579 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.396587 cmd_find_current_client: no target, return 0x0
1513866118.396598 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.396606 cmd_find_current_client: no target, return 0x0
1513866118.396617 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.396625 cmd_find_current_client: no target, return 0x0
1513866118.396637 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.396645 cmd_find_current_client: no target, return 0x0
1513866118.396656 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.396665 cmd_find_current_client: no target, return 0x0
1513866118.396676 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.396699 cmd_find_current_client: no target, return 0x0
1513866118.396711 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.396720 cmd_find_current_client: no target, return 0x0
1513866118.396731 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.396739 cmd_find_current_client: no target, return 0x0
1513866118.396753 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.396761 cmd_find_current_client: no target, return 0x0
1513866118.396774 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.396782 cmd_find_current_client: no target, return 0x0
1513866118.396797 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.396805 cmd_find_current_client: no target, return 0x0
1513866118.396819 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.396827 cmd_find_current_client: no target, return 0x0
1513866118.396841 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.396849 cmd_find_current_client: no target, return 0x0
1513866118.396863 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.396871 cmd_find_current_client: no target, return 0x0
1513866118.396882 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.396891 cmd_find_current_client: no target, return 0x0
1513866118.396902 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.396910 cmd_find_current_client: no target, return 0x0
1513866118.396922 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.396930 cmd_find_current_client: no target, return 0x0
1513866118.396942 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.396950 cmd_find_current_client: no target, return 0x0
1513866118.396962 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.396970 cmd_find_current_client: no target, return 0x0
1513866118.396982 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.396990 cmd_find_current_client: no target, return 0x0
1513866118.397002 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.397010 cmd_find_current_client: no target, return 0x0
1513866118.397021 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.397029 cmd_find_current_client: no target, return 0x0
1513866118.397041 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.397049 cmd_find_current_client: no target, return 0x0
1513866118.397061 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.397069 cmd_find_current_client: no target, return 0x0
1513866118.397081 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.397091 cmd_find_current_client: no target, return 0x0
1513866118.397102 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.397110 cmd_find_current_client: no target, return 0x0
1513866118.397122 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.397130 cmd_find_current_client: no target, return 0x0
1513866118.397141 cmdq_next <global>: command[bind-key] (0), flags 0
1513866118.397149 cmd_find_current_client: no target, return 0x0
1513866118.397163 cmdq_next <global>: command[bind-key] (0), flags 0
